car_id,car_photo_url1,car_photo_url2,car_photo_url3,color,color_photo_url,int_color_id,trim_id
17,https://img.sm360.ca/images/newcar/2011/Kia/Soul/1.6L/5-Doors-HatchBack/interiorColors/2011-Kia-Soul-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2011/Kia/Soul/1.6L/5-Doors-HatchBack/interiorColors/2011-Kia-Soul-Tissunoir-arrière.jpg,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,20
17,https://img.sm360.ca/images/newcar/2011/Kia/Soul/1.6L/5-Doors-HatchBack/interiorColors/2011-Kia-Soul-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2011/Kia/Soul/1.6L/5-Doors-HatchBack/interiorColors/2011-Kia-Soul-Tissunoir-arrière.jpg,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,21
17,https://img.sm360.ca/images/newcar/2011/Kia/Soul/1.6L/5-Doors-HatchBack/interiorColors/2011-Kia-Soul-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2011/Kia/Soul/1.6L/5-Doors-HatchBack/interiorColors/2011-Kia-Soul-Tissunoir-arrière.jpg,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,22
17,https://img.sm360.ca/images/newcar/2011/Kia/Soul/1.6L/5-Doors-HatchBack/interiorColors/2011-Kia-Soul-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2011/Kia/Soul/1.6L/5-Doors-HatchBack/interiorColors/2011-Kia-Soul-Tissunoir-arrière.jpg,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,23
18,https://img.sm360.ca/images/newcar/2010/Kia/Forte/EX/Sedan/interiorColors/2010-Kia-Forte-Koup-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Kia/Forte/EX/Sedan/interiorColors/2010-Kia-Forte-Koup-Tissunoir-tableaudebord.jpg,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,1
18,https://img.sm360.ca/images/newcar/2010/Kia/Forte/EX/Sedan/interiorColors/2010-Kia-Forte-Koup-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Kia/Forte/EX/Sedan/interiorColors/2010-Kia-Forte-Koup-Tissunoir-tableaudebord.jpg,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,24
19,https://img.sm360.ca/images/newcar/2010/Kia/Forte-Koup/EX/Coupe/interiorColors/2010-Kia-Forte-Koup-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Kia/Forte-Koup/EX/Coupe/interiorColors/2010-Kia-Forte-Koup-Tissunoir-arrière.jpg,https://img.sm360.ca/images/newcar/2010/Kia/Forte-Koup/EX/Coupe/interiorColors/2010-Kia-Forte-Koup-Tissunoir-tableaudebord.jpg,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,1
22,,,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,15
22,,,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,24
22,,,,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,29
