car_id,car_photo_url1,car_photo_url2,car_photo_url3,color,color_photo_url,ext_color_id,trim_id
4,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX/HatchBack/exteriorColors/6500_cc0640_001_O6.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX/HatchBack/exteriorColors/6500_cc0640_014_O6.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX/HatchBack/exteriorColors/6500_cc0640_032_O6.png,Solar Flare (Metallic),https://img.sm360.ca/images/newcar/colors/solar_flare.jpg,5,1
4,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6499_cc0640_001_O6.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6499_cc0640_014_O6.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6499_cc0640_032_O6.png,Solar Flare (Metallic),https://img.sm360.ca/images/newcar/colors/solar_flare.jpg,5,2
4,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6499_cc0640_001_O6.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6499_cc0640_014_O6.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6499_cc0640_032_O6.png,Solar Flare (Metallic),https://img.sm360.ca/images/newcar/colors/solar_flare.jpg,5,3
11,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX/Sedan/exteriorColors/7227_cc0640_001_O6.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX/Sedan/exteriorColors/7227_cc0640_014_O6.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX/Sedan/exteriorColors/7227_cc0640_032_O6.png,Solar Flare (Metallic),https://img.sm360.ca/images/newcar/colors/solar_flare.jpg,5,1
11,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX-Convenience/Sedan/exteriorColors/7227_cc0640_001_O6.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX-Convenience/Sedan/exteriorColors/7227_cc0640_014_O6.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX-Convenience/Sedan/exteriorColors/7227_cc0640_032_O6.png,Solar Flare (Metallic),https://img.sm360.ca/images/newcar/colors/solar_flare.jpg,5,2
14,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX/HatchBack/exteriorColors/6500_cc0640_001_O6.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX/HatchBack/exteriorColors/6500_cc0640_014_O6.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX/HatchBack/exteriorColors/6500_cc0640_032_O6.png,Solar Flare (Metallic),https://img.sm360.ca/images/newcar/colors/solar_flare.jpg,5,1
14,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX-Convenience/HatchBack/exteriorColors/6499_cc0640_001_O6.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX-Convenience/HatchBack/exteriorColors/6499_cc0640_014_O6.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX-Convenience/HatchBack/exteriorColors/6499_cc0640_032_O6.png,Solar Flare (Metallic),https://img.sm360.ca/images/newcar/colors/solar_flare.jpg,5,2
14,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6500_cc0640_001_O6.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6500_cc0640_014_O6.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6500_cc0640_032_O6.png,Solar Flare (Metallic),https://img.sm360.ca/images/newcar/colors/solar_flare.jpg,5,3
1,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX/Sedan/exteriorColors/6420_cc0640_001_J4.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX/Sedan/exteriorColors/6420_cc0640_014_J4.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX/Sedan/exteriorColors/6420_cc0640_032_J4.png,Cashmere Beige (Metallic),https://img.sm360.ca/images/newcar/colors/cashmere_beige.jpg,6,1
1,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX-Convenience/Sedan/exteriorColors/6421_cc0640_001_J4.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX-Convenience/Sedan/exteriorColors/6421_cc0640_014_J4.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX-Convenience/Sedan/exteriorColors/6421_cc0640_032_J4.png,Cashmere Beige (Metallic),https://img.sm360.ca/images/newcar/colors/cashmere_beige.jpg,6,2
11,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX/Sedan/exteriorColors/7227_cc0640_001_J4.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX/Sedan/exteriorColors/7227_cc0640_014_J4.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX/Sedan/exteriorColors/7227_cc0640_032_J4.png,Cashmere Beige (Metallic),https://img.sm360.ca/images/newcar/colors/cashmere_beige.jpg,6,1
11,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX-Convenience/Sedan/exteriorColors/7227_cc0640_001_J4.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX-Convenience/Sedan/exteriorColors/7227_cc0640_014_J4.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX-Convenience/Sedan/exteriorColors/7227_cc0640_032_J4.png,Cashmere Beige (Metallic),https://img.sm360.ca/images/newcar/colors/cashmere_beige.jpg,6,2
14,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX/HatchBack/exteriorColors/6500_cc0640_001_J4.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX/HatchBack/exteriorColors/6500_cc0640_014_J4.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX/HatchBack/exteriorColors/6500_cc0640_032_J4.png,Cashmere Beige (Metallic),https://img.sm360.ca/images/newcar/colors/cashmere_beige.jpg,6,1
14,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX-Convenience/HatchBack/exteriorColors/6499_cc0640_001_J4.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX-Convenience/HatchBack/exteriorColors/6499_cc0640_014_J4.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX-Convenience/HatchBack/exteriorColors/6499_cc0640_032_J4.png,Cashmere Beige (Metallic),https://img.sm360.ca/images/newcar/colors/cashmere_beige.jpg,6,2
24,,,,Cashmere Beige (Metallic),https://img.sm360.ca/images/newcar/colors/cashmere_beige.jpg,6,1
24,,,,Cashmere Beige (Metallic),https://img.sm360.ca/images/newcar/colors/cashmere_beige.jpg,6,13
24,,,,Cashmere Beige (Metallic),https://img.sm360.ca/images/newcar/colors/cashmere_beige.jpg,6,24
24,,,,Cashmere Beige (Metallic),https://img.sm360.ca/images/newcar/colors/cashmere_beige.jpg,6,31
24,,,,Cashmere Beige (Metallic),https://img.sm360.ca/images/newcar/colors/cashmere_beige.jpg,6,32
84,https://img.sm360.ca/images/newcar/2011/Kia/Sedonna/EX/Minivan/exteriorColors/7167_cc0640_001_J4.png,https://img.sm360.ca/images/newcar/2011/Kia/Sedonna/EX/Minivan/exteriorColors/7167_cc0640_014_J4.png,https://img.sm360.ca/images/newcar/2011/Kia/Sedonna/EX/Minivan/exteriorColors/7167_cc0640_032_J4.png,Cashmere Beige (Metallic),https://img.sm360.ca/images/newcar/colors/cashmere_beige.jpg,6,1
84,https://img.sm360.ca/images/newcar/2011/Kia/Sedonna/EX-Luxury/Minivan/exteriorColors/7167_cc0640_001_J4.png,https://img.sm360.ca/images/newcar/2011/Kia/Sedonna/EX-Luxury/Minivan/exteriorColors/7167_cc0640_014_J4.png,https://img.sm360.ca/images/newcar/2011/Kia/Sedonna/EX-Luxury/Minivan/exteriorColors/7167_cc0640_032_J4.png,Cashmere Beige (Metallic),https://img.sm360.ca/images/newcar/colors/cashmere_beige.jpg,6,13
84,https://img.sm360.ca/images/newcar/2011/Kia/Sedonna/LX/Minivan/exteriorColors/7174_cc0640_001_J4.png,https://img.sm360.ca/images/newcar/2011/Kia/Sedonna/LX/Minivan/exteriorColors/7174_cc0640_014_J4.png,https://img.sm360.ca/images/newcar/2011/Kia/Sedonna/LX/Minivan/exteriorColors/7174_cc0640_032_J4.png,Cashmere Beige (Metallic),https://img.sm360.ca/images/newcar/colors/cashmere_beige.jpg,6,24
84,https://img.sm360.ca/images/newcar/2011/Kia/Sedonna/LX-Convenience/Minivan/exteriorColors/7174_cc0640_001_J4.png,https://img.sm360.ca/images/newcar/2011/Kia/Sedonna/LX-Convenience/Minivan/exteriorColors/7174_cc0640_014_J4.png,https://img.sm360.ca/images/newcar/2011/Kia/Sedonna/LX-Convenience/Minivan/exteriorColors/7174_cc0640_032_J4.png,Cashmere Beige (Metallic),https://img.sm360.ca/images/newcar/colors/cashmere_beige.jpg,6,31
84,https://img.sm360.ca/images/newcar/2011/Kia/Sedonna/EX-Power/Minivan/exteriorColors/7167_cc0640_001_J4.png,https://img.sm360.ca/images/newcar/2011/Kia/Sedonna/EX-Power/Minivan/exteriorColors/7167_cc0640_014_J4.png,https://img.sm360.ca/images/newcar/2011/Kia/Sedonna/EX-Power/Minivan/exteriorColors/7167_cc0640_032_J4.png,Cashmere Beige (Metallic),https://img.sm360.ca/images/newcar/colors/cashmere_beige.jpg,6,32
1,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX/Sedan/exteriorColors/6420_cc0640_001_9B.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX/Sedan/exteriorColors/6420_cc0640_014_9B.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX/Sedan/exteriorColors/6420_cc0640_032_9B.png,Midnight Black,https://img.sm360.ca/images/newcar/colors/midnight_black.jpg,7,1
1,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX-Convenience/Sedan/exteriorColors/6421_cc0640_001_9B.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX-Convenience/Sedan/exteriorColors/6421_cc0640_014_9B.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio/EX-Convenience/Sedan/exteriorColors/6421_cc0640_032_9B.png,Midnight Black,https://img.sm360.ca/images/newcar/colors/midnight_black.jpg,7,2
4,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX/HatchBack/exteriorColors/6500_cc0640_001_9B.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX/HatchBack/exteriorColors/6500_cc0640_014_9B.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX/HatchBack/exteriorColors/6500_cc0640_032_9B.png,Midnight Black,https://img.sm360.ca/images/newcar/colors/midnight_black.jpg,7,1
4,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX-Convenience/HatchBack/exteriorColors/6499_cc0640_001_UD.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX-Convenience/HatchBack/exteriorColors/6499_cc0640_014_UD.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX-Convenience/HatchBack/exteriorColors/6499_cc0640_032_UD.png,Midnight Black,https://img.sm360.ca/images/newcar/colors/midnight_black.jpg,7,2
4,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6499_cc0640_001_9B.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6499_cc0640_014_9B.png,https://img.sm360.ca/images/newcar/2010/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6499_cc0640_032_9B.png,Midnight Black,https://img.sm360.ca/images/newcar/colors/midnight_black.jpg,7,3
11,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX/Sedan/exteriorColors/7227_cc0640_001_9B.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX/Sedan/exteriorColors/7227_cc0640_014_9B.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX/Sedan/exteriorColors/7227_cc0640_032_9B.png,Midnight Black,https://img.sm360.ca/images/newcar/colors/midnight_black.jpg,7,1
11,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX-Convenience/Sedan/exteriorColors/7227_cc0640_001_9B.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX-Convenience/Sedan/exteriorColors/7227_cc0640_014_9B.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio/EX-Convenience/Sedan/exteriorColors/7227_cc0640_032_9B.png,Midnight Black,https://img.sm360.ca/images/newcar/colors/midnight_black.jpg,7,2
14,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX/HatchBack/exteriorColors/6500_cc0640_001_9B.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX/HatchBack/exteriorColors/6500_cc0640_014_9B.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX/HatchBack/exteriorColors/6500_cc0640_032_9B.png,Midnight Black,https://img.sm360.ca/images/newcar/colors/midnight_black.jpg,7,1
14,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX-Convenience/HatchBack/exteriorColors/6499_cc0640_001_9B.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX-Convenience/HatchBack/exteriorColors/6499_cc0640_014_9B.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX-Convenience/HatchBack/exteriorColors/6499_cc0640_032_9B.png,Midnight Black,https://img.sm360.ca/images/newcar/colors/midnight_black.jpg,7,2
14,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6500_cc0640_001_9B.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6500_cc0640_014_9B.png,https://img.sm360.ca/images/newcar/2011/Kia/Rio5/EX-Sport/HatchBack/exteriorColors/6500_cc0640_032_9B.png,Midnight Black,https://img.sm360.ca/images/newcar/colors/midnight_black.jpg,7,3
24,https://img.sm360.ca/images/newcar/2010/Kia/Sedonna/EX/Minivan/exteriorColors/6385_cc0640_001_UD.png,https://img.sm360.ca/images/newcar/2010/Kia/Sedonna/EX/Minivan/exteriorColors/6385_cc0640_014_UD.png,https://img.sm360.ca/images/newcar/2010/Kia/Sedonna/EX/Minivan/exteriorColors/6385_cc0640_032_UD.png,Midnight Black,https://img.sm360.ca/images/newcar/colors/midnight_black.jpg,7,1
24,https://img.sm360.ca/images/newcar/2010/Kia/Sedonna/EX-Luxury/Minivan/exteriorColors/6385_cc0640_001_UD.png,https://img.sm360.ca/images/newcar/2010/Kia/Sedonna/EX-Luxury/Minivan/exteriorColors/6385_cc0640_014_UD.png,https://img.sm360.ca/images/newcar/2010/Kia/Sedonna/EX-Luxury/Minivan/exteriorColors/6385_cc0640_032_UD.png,Midnight Black,https://img.sm360.ca/images/newcar/colors/midnight_black.jpg,7,13
24,https://img.sm360.ca/images/newcar/2010/Kia/Sedonna/LX/Minivan/exteriorColors/6040_cc0640_001_UD.png,https://img.sm360.ca/images/newcar/2010/Kia/Sedonna/LX/Minivan/exteriorColors/6040_cc0640_014_UD.png,https://img.sm360.ca/images/newcar/2010/Kia/Sedonna/LX/Minivan/exteriorColors/6040_cc0640_032_UD.png,Midnight Black,https://img.sm360.ca/images/newcar/colors/midnight_black.jpg,7,24
24,https://img.sm360.ca/images/newcar/2010/Kia/Sedonna/LX-Convenience/Minivan/exteriorColors/6040_cc0640_001_UD.png,https://img.sm360.ca/images/newcar/2010/Kia/Sedonna/LX-Convenience/Minivan/exteriorColors/6040_cc0640_014_UD.png,https://img.sm360.ca/images/newcar/2010/Kia/Sedonna/LX-Convenience/Minivan/exteriorColors/6040_cc0640_032_UD.png,Midnight Black,https://img.sm360.ca/images/newcar/colors/midnight_black.jpg,7,31
24,https://img.sm360.ca/images/newcar/2010/Kia/Sedonna/EX-Power/Minivan/exteriorColors/6385_cc0640_001_UD.png,https://img.sm360.ca/images/newcar/2010/Kia/Sedonna/EX-Power/Minivan/exteriorColors/6385_cc0640_014_UD.png,https://img.sm360.ca/images/newcar/2010/Kia/Sedonna/EX-Power/Minivan/exteriorColors/6385_cc0640_032_UD.png,Midnight Black,https://img.sm360.ca/images/newcar/colors/midnight_black.jpg,7,32
84,https://img.sm360.ca/images/newcar/2011/Kia/Sedonna/EX/Minivan/exteriorColors/7167_cc0640_001_9B.png,https://img.sm360.ca/images/newcar/2011/Kia/Sedonna/EX/Minivan/exteriorColors/7167_cc0640_014_9B.png,https://img.sm360.ca/images/newcar/2011/Kia/Sedonna/EX/Minivan/exteriorColors/7167_cc0640_032_9B.png,Midnight Black,https://img.sm360.ca/images/newcar/colors/midnight_black.jpg,7,1
